NAME NAME Blurry and spotty . Glad we pay every month for this service ! 	NAME NAME Blurry and spotty .<br> Glad we pay every month for this service !	2	-2	 NAME[0] NAME[0] Blurry[-1] and[0] spotty[0] [[Sentence=-2,1=word max, 1-5]] Glad[1] we[0] pay[0] every[0] month[0] for[0] this[0] service[0] [[Sentence=-1,2=word max, 1-5]][[[2,-2 max of sentences]]]
Oh , yeah know this isn't an important award show were we not only would like but need to be able to hear clearly . #ACMs 	Oh , yeah know this isn't an important award show were we not only would like but need to be able to hear clearly .<br> #ACMs	1	-1	 Oh[0] yeah[0] know[0] this[0] isn't[0] an[0] important[0] award[0] show[0] were[0] we[0] not[0] only[0] would[0] like[1][-1 LastWordBoosterStrength] but[0] need[0] to[0] be[0] able[0] to[0] hear[0] clearly[0] [[Sentence=-1,1=word max, 1-5]] #ACMs[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
NAME thank goodness . I'd hate to see everyone's rights taken away when Don and new SC Justice rewrite the Constitution . 	NAME thank goodness .<br> I'd hate to see everyone's rights taken away when Don and new SC Justice rewrite the Constitution .	3	-4	 NAME[0] thank[1] goodness[2] [[Sentence=-1,3=word max, 1-5]] I'd[0] hate[-3] to[0] see[0] everyone's[0] rights[0] taken[0] away[0] when[0] Don[0] and[0] new[0] SC[0] Justice[0] rewrite[0] the[0] Constitution[0] [[Sentence=-4,1=word max, 1-5]][[[3,-4 max of sentences]]]
NAME RT NAMENo Sweat Pants Allowed - Wine Club ! #sassy #warm #funny HYPERLINK … … …    HYPERLINK	NAME RT NAMENo Sweat Pants Allowed - Wine Club !<br> #sassy #warm #funny HYPERLINK … … …    HYPERLINK	1	-1	 NAME[0] RT[0] NAMENo[0] Sweat[0] Pants[0] Allowed[0] Wine[0] Club[0] [[Sentence=-1,1=word max, 1-5]] #sassy[0] #warm[0] #funny[0] HYPERLINK[0] …[0] …[0] …[0] HYPERLINK[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
You , loudmouth middle aged white tradesman on the GO bus with your friends: no , please , continue to shoot your mouth off . 	You , loudmouth middle aged white tradesman on the GO bus with your friends: no , please , continue to shoot your mouth off .	2	-2	 You[0] loudmouth[0] middle[0] aged[0] white[0] tradesman[0] on[0] the[0] GO[0] bus[0] with[0] your[0] friends[1] no[0] please[1] continue[0] to[0] shoot[-1] your[0] mouth[0] off[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
Thank you for the amazing chat mother . . . . -_-  feelingthelove 	Thank you for the amazing chat mother .<br> .<br> .<br> .<br> -_-  feelingthelove	3	-1	 Thank[1] you[0] for[0] the[0] amazing[2] chat[0] mother[0] [[Sentence=-1,3=word max, 1-5]] -_[0] feelingthelove[0] [[Sentence=-1,1=word max, 1-5]][[[3,-1 max of sentences]]]
NAME NAME NAME No shit ? You should tell NAME She seriously thinks Nimrata Randhawa is from Bangladesh . 	NAME NAME NAME No shit ?<br> You should tell NAME She seriously thinks Nimrata Randhawa is from Bangladesh .	1	-2	 NAME[0] NAME[0] NAME[0] No[0] shit[-1] [[Sentence=-2,1=word max, 1-5]] You[0] should[0] tell[0] NAME[0] She[0] seriously[0] thinks[0] Nimrata[0] Randhawa[0] is[0] from[0] Bangladesh[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
*shock face* HYPERLINK	*shock face* HYPERLINK	1	-3	 shock[-2] face[0] HYPERLINK[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
NAME NAME should that not read SNP lied about everything ? ? 	NAME NAME should that not read SNP lied about everything ?<br> ?	1	-3	 NAME[0] NAME[0] should[0] that[0] not[0] read[0] SNP[0] lied[-2] about[0] everything[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
NAME Can't wait to see Corbin vs Reigns for the WWE title ! 	NAME Can't wait to see Corbin vs Reigns for the WWE title !	1	-1	 NAME[0] Can't[0] wait[0] to[0] see[0] Corbin[0] vs[0] Reigns[0] for[0] the[0] WWE[0] title[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i love you so much that i could die for you 	i love you so much that i could die for you	3	-1	 i[0] love[2] you[0] so[0] much[0] that[0] i[0] could[0] die[0] for[0] you[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
NAME There's a surprise ! I doubt seriously this government can find them . 	NAME There's a surprise !<br> I doubt seriously this government can find them .	1	-2	 NAME[0] There's[0] a[0] surprise[0] [[Sentence=-1,1=word max, 1-5]] I[0] doubt[-1] seriously[0] this[0] government[0] can[0] find[0] them[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
OMG , Darhk kidnapped William , *gasp*  Arrow	OMG , Darhk kidnapped William , *gasp*  Arrow	2	-1	 OMG[1] Darhk[0] kidnapped[0] William[0] gasp[0] Arrow[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
NAME He must be so happy with his new  mentor . But NAME  MindYourButt , else  2Decades will be back . HYPERLINK	NAME He must be so happy with his new  mentor .<br> But NAME  MindYourButt , else  2Decades will be back .<br> HYPERLINK	2	-1	 NAME[0] He[0] must[0] be[0] so[0] happy[1] with[0] his[0] new[0] mentor[0] [[Sentence=-1,2=word max, 1-5]] But[0] NAME[0] MindYourButt[0] else[0] 2Decades[0] will[0] be[0] back[0] [[Sentence=-1,1=word max, 1-5]] HYPERLINK[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
Gotta make the young up and comer Undertaker look strong HYPERLINK	Gotta make the young up and comer Undertaker look strong HYPERLINK	1	-1	 Gotta[0] make[0] the[0] young[0] up[0] and[0] comer[0] Undertaker[0] look[0] strong[0] HYPERLINK[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Sitting NAME waiting for a 5% discount on a piece of a bunk bed that was dropped and damaged by them . #Customersevice 	Sitting NAME waiting for a 5% discount on a piece of a bunk bed that was dropped and damaged by them .<br> #Customersevice	1	-1	 Sitting[0] NAME[0] waiting[0] for[0] a[0] 5%[0] discount[0] on[0] a[0] piece[0] of[0] a[0] bunk[0] bed[0] that[0] was[0] dropped[0] and[0] damaged[0] by[0] them[0] [[Sentence=-1,1=word max, 1-5]] #Customersevice[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Who said  MakeInIndia is not successful , ain't you seeing  JNURow ? NAME NAME NAME NAME NAME	Who said  MakeInIndia is not successful , ain't you seeing  JNURow ?<br> NAME NAME NAME NAME NAME	1	-3	 Who[0] said[0] MakeInIndia[0] is[0] not[0] successful[2][NegatedDueToPreviousWord] ain't[0] you[0] seeing[0] JNURow[0] [[Sentence=-3,1=word max, 1-5]] NAME[0] NAME[0] NAME[0] NAME[0] NAME[0] [[Sentence=-1,1=word max, 1-5]][[[1,-3 max of sentences]]]
Okay so I'm gonna live tweet y'all my thoughts right now on a certain subject near and dear to many of us . . . MATH 	Okay so I'm gonna live tweet y'all my thoughts right now on a certain subject near and dear to many of us .<br> .<br> .<br> MATH	2	-1	 Okay[0] so[0] I'm[0] gonna[0] live[0] tweet[0] y'all[0] my[0] thoughts[0] right[0] now[0] on[0] a[0] certain[0] subject[0] near[0] and[0] dear[1] to[0] many[0] of[0] us[0] [[Sentence=-1,2=word max, 1-5]] MATH[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
NAME NAME LOLDon't forget her stand against Jeb's disenfranchisement of Black Floridians ! HYPERLINK	NAME NAME LOLDon't forget her stand against Jeb's disenfranchisement of Black Floridians !<br> HYPERLINK	1	-2	 NAME[0] NAME[0] LOLDon't[0] forget[0] her[0] stand[0] against[-1] Jeb's[0] disenfranchisement[0] of[0] Black[0] Floridians[0] [[Sentence=-2,1=word max, 1-5]] HYPERLINK[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
My lil brother is just so nice        	My lil brother is just so nice       	2	-1	 My[0] lil[0] brother[0] is[0] just[0] so[0] nice[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Damn , so many love notes from my fans  HatersCannotStayAway  obsessed	Damn , so many love notes from my fans  HatersCannotStayAway  obsessed	3	-4	 Damn[-1] so[0] many[0] love[2] notes[0] from[0] my[0] fans[0] HatersCannotStayAway[-3] obsessed[-2][-1 MultiplePositiveWords] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
Hell yeah ! !         girls  wine  sugar  everythingfine  space  unique  GirlsWorld  everythingnice  girlday HYPERLINK	Hell yeah !<br> !<br>         girls  wine  sugar  everythingfine  space  unique  GirlsWorld  everythingnice  girlday HYPERLINK	1	-2	 Hell[-1] yeah[0] [[Sentence=-2,1=word max, 1-5]] girls[0] wine[0] sugar[0] everythingfine[0] space[0] unique[0] GirlsWorld[0] everythingnice[0] girlday[0] HYPERLINK[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
Lmaoooo sarcasm at it's finest ! These kids are hilarious             #thebest #loveit… HYPERLINK	Lmaoo sarcasm at it's finest !<br> These kids are hilarious             #thebest #loveit… HYPERLINK	3	-3	 Lmaoooo/Lmaoo[0][+0.6 MultipleLetters] sarcasm[-2] at[0] it's[0] finest[0] [[Sentence=-3,2=word max, 1-5]] These[0] kids[0] are[0] hilarious[2] #thebest[0] #loveit…[0] HYPERLINK[0] [[Sentence=-1,3=word max, 1-5]][[[3,-3 max of sentences]]]
But I thought racism was dead . . This hurts my soul . About time to take another social media break . HYPERLINK	But I thought racism was dead .<br> .<br> This hurts my soul .<br> About time to take another social media break .<br> HYPERLINK	1	-3	 But[0] I[0] thought[0] racism[-1] was[0] dead[-2] [[Sentence=-3,1=word max, 1-5]] This[0] hurts[-2] my[0] soul[0] [[Sentence=-3,1=word max, 1-5]] About[0] time[0] to[0] take[0] another[0] social[0] media[0] break[0] [[Sentence=-1,1=word max, 1-5]] HYPERLINK[0] [[Sentence=-1,1=word max, 1-5]][[[1,-3 max of sentences]]]
Oh , my bad , Clinton supporters and Ted Cruz reporters . Thanks for the correction . #badcompany HYPERLINK	Oh , my bad , Clinton supporters and Ted Cruz reporters .<br> Thanks for the correction .<br> #badcompany HYPERLINK	2	-2	 Oh[0] my[0] bad[-1] Clinton[0] supporters[1] and[0] Ted[0] Cruz[0] reporters[0] [[Sentence=-2,2=word max, 1-5]] Thanks[1] for[0] the[0] correction[0] [[Sentence=-1,2=word max, 1-5]] #badcompany[0] HYPERLINK[0] [[Sentence=-1,1=word max, 1-5]][[[2,-2 max of sentences]]]
gosh I love paralyzing anxiety 	gosh I love paralyzing anxiety	3	-3	 gosh[0] I[0] love[2] paralyzing[0] anxiety[-2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
NAME thanks for helpin me out ! !  humor  satire  satireandhumorontwitter	NAME thanks for helpin me out !<br> !<br>  humor  satire  satireandhumorontwitter	3	-1	 NAME[0] thanks[1] for[0] helpin[0] me[0] out[0] [[Sentence=-1,2=word max, 1-5]] humor[2] satire[0] satireandhumorontwitter[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
And this is necessary bcos everybody absolutely loves Zuma right ? Thought SA is happy with him ?  SONAdebate HYPERLINK	And this is necessary bcos everybody absolutely loves Zuma right ?<br> Thought SA is happy with him ?<br>  SONAdebate HYPERLINK	4	-1	 And[0] this[0] is[0] necessary[0] bcos[0] everybody[0] absolutely[0] loves[2][1 LastWordBoosterStrength] Zuma[0] right[0] [[Sentence=-1,4=word max, 1-5]] Thought[0] SA[0] is[0] happy[1] with[0] him[0] [[Sentence=-1,2=word max, 1-5]] SONAdebate[0] HYPERLINK[0] [[Sentence=-1,1=word max, 1-5]][[[4,-1 max of sentences]]]
"It's in the bible . "- a female pastor speaking out in a group on why she's against something . BE SILENT , WOMAN ! preachersofatlanta	"It's in the bible .<br> " a female pastor speaking out in a group on why she's against something .<br> BE SILENT , WOMAN !<br> preachersofatlanta	1	-2	 It's[0] in[0] the[0] bible[0] [[Sentence=-1,1=word max, 1-5]] a[0] female[0] pastor[0] speaking[0] out[0] in[0] a[0] group[0] on[0] why[0] she's[0] against[-1] something[0] [[Sentence=-2,1=word max, 1-5]] BE[0] SILENT[0] WOMAN[0] [[Sentence=-1,1=word max, 1-5]] preachersofatlanta[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
NAME No , it's disallowed to ever make any jokes even if the joke is implying a ridiculous situation .  NoFunAllowed 	NAME No , it's disallowed to ever make any jokes even if the joke is implying a ridiculous situation .<br>  NoFunAllowed	2	-3	 NAME[0] No[0] it's[0] disallowed[0] to[0] ever[0] make[0] any[0] jokes[1] even[0] if[0] the[0] joke[1] is[0] implying[0] a[0] ridiculous[-2] situation[0] [[Sentence=-3,2=word max, 1-5]] NoFunAllowed[0] [[Sentence=-1,1=word max, 1-5]][[[2,-3 max of sentences]]]
NAME NAME NAME It's . Finest .     	NAME NAME NAME It's .<br> Finest .<br>    	1	-1	 NAME[0] NAME[0] NAME[0] It's[0] [[Sentence=-1,1=word max, 1-5]] Finest[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Yayyyyy . . . Cowan AGAIN woooo HYPERLINK	Yay .<br> .<br> .<br> Cowan AGAIN woo HYPERLINK	3	-1	 Yayyyyy/Yay[1][+0.6 MultipleLetters] [[Sentence=-1,3=word max, 1-5]] Cowan[0] AGAIN[0] woooo/woo[0][+0.6 MultipleLetters] HYPERLINK[0] [[Sentence=-1,2=word max, 1-5]][[[3,-1 max of sentences]]]
NAME money well spent . 	NAME money well spent .	1	-1	 NAME[0] money[0] well[0] spent[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
NAME I would def start with "well actually" cause I hear that goes really well #obviously	NAME I would def start with "well actually" cause I hear that goes really well #obviously	1	-1	 NAME[0] I[0] would[0] def[0] start[0] with[0] well[0] actually[0] cause[0] I[0] hear[0] that[0] goes[0] really[0] well[0] #obviously[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
NAME Wait , obama a fraud ? ! Nooo , you're lying ! I want proof of ONE TIME obama has ever lied . ONE ! ! HYPERLINK	NAME Wait , obama a fraud ?<br> !<br> Noo , you're lying !<br> I want proof of ONE TIME obama has ever lied .<br> ONE !<br> !<br> HYPERLINK	1	-4	 NAME[0] Wait[0] obama[0] a[0] fraud[-1] [[Sentence=-2,1=word max, 1-5]] Nooo/Noo[0] you're[0] lying[-3] [[Sentence=-4,1=word max, 1-5]] I[0] want[0] proof[0] of[0] ONE[0] TIME[0] obama[0] has[0] ever[0] lied[-2] [[Sentence=-3,1=word max, 1-5]] ONE[0] [[Sentence=-1,1=word max, 1-5]] HYPERLINK[0] [[Sentence=-1,1=word max, 1-5]][[[1,-4 max of sentences]]]
Yo , Footballfan992 ain't got no chill . HYPERLINK	Yo , Footballfan992 ain't got no chill .<br> HYPERLINK	1	-1	 Yo[0] Footballfan992[0] ain't[0] got[0] no[0] chill[0] [[Sentence=-1,1=word max, 1-5]] HYPERLINK[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
I don't believe in smoking . It's an abomination so I will no longer service customers who smoke .  DoYourJob	I don't believe in smoking .<br> It's an abomination so I will no longer service customers who smoke .<br>  DoYourJob	1	-3	 I[0] don't[0] believe[0] in[0] smoking[0] [[Sentence=-1,1=word max, 1-5]] It's[0] an[0] abomination[-2] so[0] I[0] will[0] no[0] longer[0] service[0] customers[0] who[0] smoke[0] [[Sentence=-3,1=word max, 1-5]] DoYourJob[0] [[Sentence=-1,1=word max, 1-5]][[[1,-3 max of sentences]]]
NAME Humor is a good thing .  speakforyourself  cynicism  shadethrowingpros	NAME Humor is a good thing .<br>  speakforyourself  cynicism  shadethrowingpros	3	-2	 NAME[0] Humor[2] is[0] a[0] good[1] thing[0] [[Sentence=-1,3=word max, 1-5]] speakforyourself[0] cynicism[-1] shadethrowingpros[0] [[Sentence=-2,1=word max, 1-5]][[[3,-2 max of sentences]]]
Well I never , Xbox Live core services are down ? That's a really unusual thing to happen nowadays . . . . 	Well I never , Xbox Live core services are down ?<br> That's a really unusual thing to happen nowadays .<br> .<br> .<br> .	1	-1	 Well[0] I[0] never[0] Xbox[0] Live[0] core[0] services[0] are[0] down[0] [[Sentence=-1,1=word max, 1-5]] That's[0] a[0] really[0] unusual[0] thing[0] to[0] happen[0] nowadays[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
There's good cops & amp; bad cops . . . just like good & amp; bad criminals breaking the law . . 	There's good cops & amp; bad cops .<br> .<br> .<br> just like good & amp; bad criminals breaking the law .<br> .	2	-2	 There's[0] good[1] cops[0] &[0] amp[0] bad[-1] cops[0] [[Sentence=-2,2=word max, 1-5]] just[0] like[1][-1 LastWordBoosterStrength] good[1] &[0] amp[0] bad[-1] criminals[-1] breaking[0] the[0] law[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
The Chinese are getting really good at faking this stuff amirite NAME HYPERLINK	The Chinese are getting really good at faking this stuff amirite NAME HYPERLINK	3	-1	 The[0] Chinese[0] are[0] getting[0] really[0] good[1][1 LastWordBoosterStrength] at[0] faking[0] this[0] stuff[0] amirite[0] NAME[0] HYPERLINK[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
NAME If you’d just stop using 2 . 4 GHz then the RF would be great ! ;)	NAME If you’d just stop using 2 .<br> 4 GHz then the RF would be great !<br> !	3	-1	 NAME[0] If[0] you’d[0] just[0] stop[0] using[0] 2[0] [[Sentence=-1,1=word max, 1-5]] 4[0] GHz[0] then[0] the[0] RF[0] would[0] be[0] great[2] [[Sentence=-1,3=word max, 1-5]] [[Sentence=-1,1=word max, 1-5]][[[3,-1 max of sentences]]]
Oquendo would have sent him ! 	Oquendo would have sent him !	1	-1	 Oquendo[0] would[0] have[0] sent[0] him[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
weddady: I get it , whether there's a  JesuisAnkara or not depends on whether  ISIS or the  PKK did it .  JeSuisPolitics	weddady: I get it , whether there's a  JesuisAnkara or not depends on whether  ISIS or the  PK did it .<br>  JeSuisPolitics	1	-1	 weddady[0] I[0] get[0] it[0] whether[0] there's[0] a[0] JesuisAnkara[0] or[0] not[0] depends[0] on[0] whether[0] ISIS[0] or[0] the[0] PKK/PK[0] did[0] it[0] [[Sentence=-1,1=word max, 1-5]] JeSuisPolitics[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
NAME cant be . refugees are only evil and Terrorists	NAME cant be .<br> refugees are only evil and Terrorists	1	-3	 NAME[0] cant[0] be[0] [[Sentence=-1,1=word max, 1-5]] refugees[-1] are[0] only[0] evil[-2] and[0] Terrorists[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
NAME NAME NAME NAME NAME  Mexico goading NAME proves NOT friend of  USA  tcot	NAME NAME NAME NAME NAME  Mexico goading NAME proves NOT friend of  USA  tcot	1	-2	 NAME[0] NAME[0] NAME[0] NAME[0] NAME[0] Mexico[0] goading[0] NAME[0] proves[0] NOT[0] friend[1][NegatedDueToPreviousWord] of[0] USA[0] tcot[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
I think they could've gone bigger with this sign . . . HYPERLINK	I think they could've gone bigger with this sign .<br> .<br> .<br> HYPERLINK	1	-1	 I[0] think[0] they[0] could've[0] gone[0] bigger[0] with[0] this[0] sign[0] [[Sentence=-1,1=word max, 1-5]] HYPERLINK[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Michael survived his very first elementary school bomb threat ! They grow up so quick .  CrazyFuckersOutThere  everyoneIsSafe	Michael survived his very first elementary school bomb threat !<br> They grow up so quick .<br>  CrazyFuckersOutThere  everyoneIsSafe	1	-3	 Michael[0] survived[0] his[0] very[0] first[0] elementary[0] school[0] bomb[-1] threat[-2] [[Sentence=-3,1=word max, 1-5]] They[0] grow[0] up[0] so[0] quick[0] [[Sentence=-1,1=word max, 1-5]] CrazyFuckersOutThere[0] everyoneIsSafe[0] [[Sentence=-1,1=word max, 1-5]][[[1,-3 max of sentences]]]
His play has really conviced me they made an error . . HYPERLINK	His play has really conviced me they made an error .<br> .<br> HYPERLINK	1	-2	 His[0] play[0] has[0] really[0] conviced[0] me[0] they[0] made[0] an[0] error[-1] [[Sentence=-2,1=word max, 1-5]] HYPERLINK[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
Cause y'know , hard work shouldn't allow you to open up opportunities . That would be absurd xD 	Cause y'know , hard work shouldn't allow you to open up opportunities .<br> That would be absurd xD	1	-2	 Cause[0] y'know[0] hard[0] work[0] shouldn't[0] allow[0] you[0] to[0] open[0] up[0] opportunities[0] [[Sentence=-1,1=word max, 1-5]] That[0] would[0] be[0] absurd[-1] xD[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
I love it when no one helps me out or bothers to tell me how to do things . . It's just great . . 	I love it when no one helps me out or bothers to tell me how to do things .<br> .<br> It's just great .<br> .	3	-2	 I[0] love[2] it[0] when[0] no[0] one[0] helps[0] me[0] out[0] or[0] bothers[-1] to[0] tell[0] me[0] how[0] to[0] do[0] things[0] [[Sentence=-2,3=word max, 1-5]] It's[0] just[0] great[2][-1 LastWordBoosterStrength] [[Sentence=-1,2=word max, 1-5]][[[3,-2 max of sentences]]]
Just as long as they aren't in Terwillegar right ? #yeg HYPERLINK	Just as long as they aren't in Terwillegar right ?<br> #yeg HYPERLINK	1	-1	 Just[0] as[0] long[0] as[0] they[0] aren't[0] in[0] Terwillegar[0] right[0] [[Sentence=-1,1=word max, 1-5]] #yeg[0] HYPERLINK[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
I've never done anything like these  savage HYPERLINK	I've never done anything like these  savage HYPERLINK	2	-3	 I've[0] never[0] done[0] anything[0] like[1] these[0] savage[-2] HYPERLINK[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
Wow NAME , this is a game-changer ! OR  notsarcastic HYPERLINK	Wow NAME , this is a game-changer !<br> OR  notsarcastic HYPERLINK	3	-1	 Wow[2] NAME[0] this[0] is[0] a[0] game[0] changer[0] [[Sentence=-1,3=word max, 1-5]] OR[0] notsarcastic[0] HYPERLINK[0] [[Sentence=-1,1=word max, 1-5]][[[3,-1 max of sentences]]]
Wow , they really ruined Bellamy’s character and just didn’t give a FUCK about Bellamy's character . . 	Wow , they really ruined Bellamy’s character and just didn’t give a FUCK about Bellamy's character .<br> .	3	-3	 Wow[2] they[0] really[0] ruined[-1][-1 LastWordBoosterStrength] Bellamy’s[0] character[0] and[0] just[0] didn’t[0] give[0] a[0] FUCK[-2] about[0] Bellamy's[0] character[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
NAME and IU of course . 	NAME and IU of course .	1	-1	 NAME[0] and[0] IU[0] of[0] course[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
NAME yup that's the best solution ever ! ! 	NAME yup that's the best solution ever !<br> !	2	-1	 NAME[0] yup[0] that's[0] the[0] best[1] solution[0] ever[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
NAME Canada should buy more oil from them instead of using our own . You know , to support peaceful theocracies . . . htt…	NAME Canada should buy more oil from them instead of using our own .<br> You know , to support peaceful theocracies .<br> .<br> .<br> htt…	2	-1	 NAME[0] Canada[0] should[0] buy[0] more[0] oil[0] from[0] them[0] instead[0] of[0] using[0] our[0] own[0] [[Sentence=-1,1=word max, 1-5]] You[0] know[0] to[0] support[1] peaceful[0] theocracies[0] [[Sentence=-1,2=word max, 1-5]] htt…[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
NAME maybe Apple will dump his phone 	NAME maybe Apple will dump his phone	1	-2	 NAME[0] maybe[0] Apple[0] will[0] dump[-1] his[0] phone[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
Ban chalk for the children HYPERLINK	Ban chalk for the children HYPERLINK	1	-1	 Ban[0] chalk[0] for[0] the[0] children[0] HYPERLINK[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 obviously we need  more  good  toddlers with  guns HYPERLINK	 obviously we need  more  good  toddlers with  guns HYPERLINK	2	-2	 obviously[0] we[0] need[0] more[0] good[1] toddlers[0] with[0] guns[-1] HYPERLINK[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
Oh yeah , Channing Frye was really the answer .   	Oh yeah , Channing Frye was really the answer .<br>  	1	-1	 Oh[0] yeah[0] Channing[0] Frye[0] was[0] really[0] the[0] answer[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
NAME NAME NAME Refresh my memory , didn't Babcock also call out PK for being selfish when Canada won gold ? 	NAME NAME NAME Refresh my memory , didn't Babcock also call out PK for being selfish when Canada won gold ?	1	-4	 NAME[0] NAME[0] NAME[0] Refresh[0] my[0] memory[0] didn't[0] Babcock[0] also[0] call[0] out[0] PK[0] for[0] being[0] selfish[-3] when[0] Canada[0] won[0] gold[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
NAME I'm sure my husband would love that idea . NAME NAME NAME	NAME I'm sure my husband would love that idea .<br> NAME NAME NAME	2	-1	 NAME[0] I'm[0] sure[0] my[0] husband[0] would[0] love[2][-1 LastWordBoosterStrength] that[0] idea[0] [[Sentence=-1,2=word max, 1-5]] NAME[0] NAME[0] NAME[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
i see what you did there  RAW HYPERLINK	i see what you did there  RAW HYPERLINK	1	-1	 i[0] see[0] what[0] you[0] did[0] there[0] RAW[0] HYPERLINK[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
NAME What ? you build a game by yourself in 30 days and don't have a full set of benchmarks ? 	NAME What ?<br> you build a game by yourself in 30 days and don't have a full set of benchmarks ?	1	-1	 NAME[0] What[0] [[Sentence=-1,1=word max, 1-5]] you[0] build[0] a[0] game[0] by[0] yourself[0] in[0] 30[0] days[0] and[0] don't[0] have[0] a[0] full[0] set[0] of[0] benchmarks[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
St . Peter's Square as seen from OUTSIDE Vatican City . Look at those walls ! HYPERLINK	St .<br> Peter's Square as seen from OUTSIDE Vatican City .<br> Look at those walls !<br> HYPERLINK	1	-1	 St[0] [[Sentence=-1,1=word max, 1-5]] Peter's[0] Square[0] as[0] seen[0] from[0] OUTSIDE[0] Vatican[0] City[0] [[Sentence=-1,1=word max, 1-5]] Look[0] at[0] those[0] walls[0] [[Sentence=-1,1=word max, 1-5]] HYPERLINK[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
NAME great parking by one of your guys !  inconsiderate  illegal  totaljoke  taxi  cardiff HYPERLINK	NAME great parking by one of your guys !<br>  inconsiderate  illegal  totaljoke  taxi  cardiff HYPERLINK	3	-2	 NAME[0] great[2] parking[0] by[0] one[0] of[0] your[0] guys[0] [[Sentence=-1,3=word max, 1-5]] inconsiderate[0] illegal[-1] totaljoke[0] taxi[-1] cardiff[0] HYPERLINK[0] [[Sentence=-2,1=word max, 1-5]][[[3,-2 max of sentences]]]
Spending the day by myself I guess #whatever #feelsoimportant 	Spending the day by myself I guess #whatever #feelsoimportant	1	-1	 Spending[0] the[0] day[0] by[0] myself[0] I[0] guess[0] #whatever[0] #feelsoimportant[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
